Year,Month,ICO Composite Price
2011,Jun,215.58
2011,Jul,210.36
2011,Aug,212.19
2011,Sep,213.04
2011,Oct,193.9
2011,Nov,193.66
2011,Dec,189.02
2012,Jan,188.9
2012,Feb,182.29
2012,Mar,167.77
2012,Apr,160.46
2012,May,157.68
2012,Jun,145.31
2012,Jul,159.07
2012,Aug,148.5
2012,Sep,151.28
2012,Oct,147.12
2012,Nov,136.35
2012,Dec,131.31
2013,Jan,135.38
2013,Feb,131.51
2013,Mar,131.38
2013,Apr,129.55
2013,May,126.96
2013,Jun,117.58
2013,Jul,118.93
2013,Aug,116.45
2013,Sep,111.82
2013,Oct,107.03
2013,Nov,100.99
2013,Dec,106.56
2014,Jan,110.75
2014,Feb,137.81
2014,Mar,165.03
2014,Apr,170.58
2014,May,163.94
2014,Jun,151.92
2014,Jul,152.5
2014,Aug,163.08
2014,Sep,161.79
2014,Oct,172.88
2014,Nov,162.17
2014,Dec,150.66
2015,Jan,148.24
2015,Feb,141.1
2015,Mar,127.04
2015,Apr,129.02
2015,May,123.49
2015,Jun,124.97
2015,Jul,119.77
2015,Aug,121.21
2015,Sep,113.14
2015,Oct,118.43
2015,Nov,115.03
2015,Dec,114.63
2016,Jan,110.89
2016,Feb,111.75
2016,Mar,117.83
2016,Apr,117.93
2016,May,119.91
2016,Jun,127.05
2016,Jul,132.98
2016,Aug,131
2016,Sep,138.22
2016,Oct,142.68
2016,Nov,145.82
2016,Dec,131.7
2017,Jan,139.07
2017,Feb,137.68
2017,Mar,134.07
2017,Apr,130.39
2017,May,125.4
2017,Jun,122.39
2017,Jul,127.26
2017,Aug,128.24
2017,Sep,124.46
2017,Oct,120.01
2017,Nov,117.26
2017,Dec,114
2018,Jan,115.6
2018,Feb,114.19
2018,Mar,112.99
2018,Apr,112.56
2018,May,113.34
2018,Jun,110.44
2018,Jul,107.2
2018,Aug,102.41
2018,Sep,98.17
2018,Oct,111.21
2018,Nov,109.59
2018,Dec,100.61
2019,Jan,101.56
2019,Feb,100.67
2019,Mar,97.5
2019,Apr,94.42
2019,May,93.33
2019,Jun,99.97
2019,Jul,103.01
2019,Aug,96.07
2019,Sep,97.74
2019,Oct,97.35
2019,Nov,107.23
2019,Dec,117.37
2020,Jan,NaN
2020,Feb,NaN
2020,Mar,NaN
2020,Apr,NaN
2020,May,NaN
2020,Jun,NaN
2020,Jul,NaN
2020,Aug,NaN
2020,Sep,NaN
2020,Oct,NaN
2020,Nov,NaN
2020,Dec,NaN
2021,Jan,NaN
2021,Feb,NaN
2021,Mar,NaN
2021,Apr,NaN
2021,May,NaN
2021,Jun,NaN
2021,Jul,NaN
2021,Aug,NaN
2021,Sep,NaN
2021,Oct,NaN
2021,Nov,NaN
2021,Dec,NaN
2022,Jan,NaN
2022,Feb,NaN
2022,Mar,NaN
2022,Apr,NaN
2022,May,NaN
2022,Jun,NaN
2022,Jul,NaN
2022,Aug,NaN
2022,Sep,NaN
2022,Oct,NaN
2022,Nov,NaN
2022,Dec,NaN
